2025-11-26 21:41:57,83.27,91.49,31.55
2025-11-26 21:56:55, Download: 81.46 Mbps, Upload: 89.92 Mbps, Ping: 31.49 ms
2025-11-26 21:59:21, Download: 84.08 Mbps, Upload: 90.22 Mbps, Ping: 26.09 ms
2025-11-26 10:05:34 PM, Download: 72.82 Mbps, Upload: 68.78 Mbps, Ping: 50.91 ms
2025-11-26 10:07:07 PM, Download: 84.93 Mbps, Upload: 85.62 Mbps, Ping: 26.90 ms
2025-11-26 10:13:31 PM, Download: 81.51 Mbps, Upload: 91.16 Mbps, Ping: 26.83 ms
2025-11-26 10:14:50 PM, Download: 89.24 Mbps, Upload: 91.70 Mbps, Ping: 26.38 ms
2025-11-26 10:19:51 PM, Download: 88.22 Mbps, Upload: 91.51 Mbps, Ping: 34.12 ms
2025-11-26 10:24:50 PM, Download: 92.63 Mbps, Upload: 91.12 Mbps, Ping: 24.27 ms
2025-11-26 10:29:51 PM, Download: 86.35 Mbps, Upload: 92.14 Mbps, Ping: 34.48 ms
2025-11-26 10:34:51 PM, Download: 87.18 Mbps, Upload: 91.00 Mbps, Ping: 29.83 ms
2025-11-26 10:39:50 PM, Download: 86.50 Mbps, Upload: 94.01 Mbps, Ping: 15.42 ms
2025-11-27 10:40:41 AM, Download: 0.01 Mbps, Upload: 13.48 Mbps, Ping: 53.72 ms
2025-11-27 10:54:23 AM, Download: 90.48 Mbps, Upload: 88.01 Mbps, Ping: 26.82 ms
2025-11-27 10:54:50 AM, Download: 91.94 Mbps, Upload: 83.09 Mbps, Ping: 14.65 ms
2025-11-27 10:59:51 AM, Download: 79.14 Mbps, Upload: 86.21 Mbps, Ping: 23.63 ms
2025-11-27 11:04:51 AM, Download: 72.55 Mbps, Upload: 90.29 Mbps, Ping: 15.01 ms
2025-11-27 11:09:51 AM, Download: 68.23 Mbps, Upload: 91.12 Mbps, Ping: 15.11 ms
2025-11-27 11:14:51 AM, Download: 75.45 Mbps, Upload: 87.92 Mbps, Ping: 14.68 ms
2025-11-27 11:19:52 AM, Download: 66.76 Mbps, Upload: 93.69 Mbps, Ping: 23.37 ms
2025-11-27 11:24:53 AM, Download: 77.47 Mbps, Upload: 91.71 Mbps, Ping: 20.76 ms
2025-11-27 12:17:16 PM, Download: 0.14 Mbps, Upload: 90.35 Mbps, Ping: 15.63 ms
2025-11-27 12:39:25 PM, Download: 89.45 Mbps, Upload: 94.16 Mbps, Ping: 26.38 ms
2025-11-27 12:40:30 PM, Download: 64.68 Mbps, Upload: 8.91 Mbps, Ping: 14.96 ms
2025-11-27 12:47:29 PM, Download: 5.14 Mbps, Upload: 93.27 Mbps, Ping: 34.32 ms
2025-11-27 12:49:49 PM, Download: 91.93 Mbps, Upload: 94.26 Mbps, Ping: 15.04 ms
2025-11-27 12:55:05 PM, Download: 27.68 Mbps, Upload: 33.34 Mbps, Ping: 32.70 ms
2025-11-27 01:00:04 PM, Download: 14.54 Mbps, Upload: 65.91 Mbps, Ping: 22.18 ms
2025-11-27 01:09:49 PM, Download: 87.86 Mbps, Upload: 92.55 Mbps, Ping: 18.87 ms
2025-11-27 01:14:50 PM, Download: 88.47 Mbps, Upload: 93.44 Mbps, Ping: 17.14 ms
2025-11-27 01:19:50 PM, Download: 79.67 Mbps, Upload: 92.35 Mbps, Ping: 20.10 ms
2025-11-27 01:24:50 PM, Download: 83.88 Mbps, Upload: 91.95 Mbps, Ping: 21.15 ms
2025-11-27 01:30:02 PM, Download: 74.77 Mbps, Upload: 72.86 Mbps, Ping: 18.51 ms
2025-11-27 01:34:51 PM, Download: 70.44 Mbps, Upload: 90.29 Mbps, Ping: 18.77 ms
2025-11-27 01:44:50 PM, Download: 87.48 Mbps, Upload: 84.51 Mbps, Ping: 16.24 ms
2025-11-27 01:49:50 PM, Download: 81.27 Mbps, Upload: 93.54 Mbps, Ping: 24.11 ms
2025-11-27 01:54:50 PM, Download: 59.70 Mbps, Upload: 83.56 Mbps, Ping: 18.73 ms
2025-11-27 01:59:50 PM, Download: 87.33 Mbps, Upload: 91.44 Mbps, Ping: 16.43 ms
2025-11-27 02:07:55 PM, Download: 87.47 Mbps, Upload: 93.84 Mbps, Ping: 16.40 ms
2025-11-27 02:09:49 PM, Download: 91.63 Mbps, Upload: 92.55 Mbps, Ping: 16.71 ms
2025-11-27 02:14:56 PM, Download: 70.01 Mbps, Upload: 90.86 Mbps, Ping: 25.03 ms
2025-11-27 02:19:50 PM, Download: 92.60 Mbps, Upload: 93.52 Mbps, Ping: 13.46 ms
2025-11-27 02:24:50 PM, Download: 92.16 Mbps, Upload: 92.36 Mbps, Ping: 15.59 ms
2025-11-27 02:29:50 PM, Download: 90.26 Mbps, Upload: 91.92 Mbps, Ping: 14.52 ms
2025-11-27 02:35:16 PM, Download: 65.94 Mbps, Upload: 79.51 Mbps, Ping: 17.27 ms
2025-11-27 02:39:50 PM, Download: 89.29 Mbps, Upload: 91.77 Mbps, Ping: 15.65 ms
2025-11-27 02:44:50 PM, Download: 91.89 Mbps, Upload: 93.87 Mbps, Ping: 15.34 ms
2025-11-27 02:49:50 PM, Download: 71.73 Mbps, Upload: 92.73 Mbps, Ping: 18.64 ms
2025-11-27 02:54:52 PM, Download: 93.27 Mbps, Upload: 93.87 Mbps, Ping: 26.18 ms
2025-11-27 02:59:51 PM, Download: 80.89 Mbps, Upload: 93.04 Mbps, Ping: 13.86 ms
2025-11-27 03:09:51 PM, Download: 90.30 Mbps, Upload: 89.74 Mbps, Ping: 18.43 ms
2025-11-27 03:14:51 PM, Download: 92.76 Mbps, Upload: 91.90 Mbps, Ping: 15.76 ms
2025-11-27 03:20:01 PM, Download: 20.15 Mbps, Upload: 72.52 Mbps, Ping: 22.59 ms
2025-11-27 03:25:05 PM, Download: 17.96 Mbps, Upload: 61.82 Mbps, Ping: 32.64 ms
2025-11-27 03:29:58 PM, Download: 25.10 Mbps, Upload: 33.41 Mbps, Ping: 21.43 ms
2025-11-27 03:39:51 PM, Download: 92.67 Mbps, Upload: 93.08 Mbps, Ping: 23.16 ms
2025-11-27 03:44:58 PM, Download: 42.72 Mbps, Upload: 80.39 Mbps, Ping: 20.40 ms
2025-11-27 03:49:51 PM, Download: 85.48 Mbps, Upload: 93.49 Mbps, Ping: 17.28 ms
2025-11-27 03:54:51 PM, Download: 92.19 Mbps, Upload: 93.67 Mbps, Ping: 14.13 ms
2025-11-27 03:59:51 PM, Download: 88.40 Mbps, Upload: 94.02 Mbps, Ping: 18.93 ms
2025-11-27 04:09:53 PM, Download: 57.66 Mbps, Upload: 77.27 Mbps, Ping: 48.93 ms
2025-11-27 04:14:51 PM, Download: 85.06 Mbps, Upload: 92.98 Mbps, Ping: 18.94 ms
2025-11-27 04:19:52 PM, Download: 89.81 Mbps, Upload: 86.72 Mbps, Ping: 21.40 ms
2025-11-27 04:24:51 PM, Download: 79.86 Mbps, Upload: 91.79 Mbps, Ping: 14.04 ms
2025-11-27 04:29:51 PM, Download: 92.90 Mbps, Upload: 93.03 Mbps, Ping: 17.67 ms
2025-11-27 04:34:51 PM, Download: 92.91 Mbps, Upload: 94.24 Mbps, Ping: 17.62 ms
2025-11-27 04:39:51 PM, Download: 92.29 Mbps, Upload: 93.55 Mbps, Ping: 14.19 ms
2025-11-27 04:44:51 PM, Download: 93.86 Mbps, Upload: 91.96 Mbps, Ping: 16.71 ms
2025-11-27 04:49:51 PM, Download: 91.77 Mbps, Upload: 93.41 Mbps, Ping: 15.87 ms
2025-11-27 04:54:52 PM, Download: 83.74 Mbps, Upload: 86.07 Mbps, Ping: 18.17 ms
2025-11-27 04:59:51 PM, Download: 92.61 Mbps, Upload: 93.67 Mbps, Ping: 17.11 ms
2025-11-27 05:15:36 PM, Download: 0.15 Mbps, Upload: 195.44 Mbps, Ping: 22.89 ms
2025-11-27 05:15:55 PM, Download: 233.70 Mbps, Upload: 178.47 Mbps, Ping: 17.00 ms
2025-11-27 05:18:04 PM, Download: 174.15 Mbps, Upload: 211.17 Mbps, Ping: 14.53 ms
2025-11-27 05:19:46 PM, Download: 243.10 Mbps, Upload: 210.20 Mbps, Ping: 14.01 ms
2025-11-27 05:24:48 PM, Download: 170.26 Mbps, Upload: 212.15 Mbps, Ping: 23.09 ms
